,,,,Call initiation Timestamp Date,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01
10,47211,Belluno Pizza,ES-12,2025-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0%,100%,100%,0.0%,12,4,8,8,0,0,33%,67%,67%,0.0%,9,4,5,5,0,1,44%,56%,56%,0.0%,13,2,11,10,1,0,15%,85%,77%,9.1%
11,42989,Fatte's Pizza of Chula Vista,ES-12,2025-08-06,10,0,10,10,0,0,0%,100%,100%,0.0%,12,0,12,12,0,0,0%,100%,100%,0.0%,13,1,12,12,0,0,8%,92%,92%,0.0%,17,2,15,15,0,0,12%,88%,88%,0.0%,17,0,17,17,0,1,0%,100%,100%,0.0%,23,0,23,22,1,1,0%,100%,96%,4.3%,12,0,12,11,1,0,0%,100%,92%,8.3%,12,0,12,12,0,0,0%,100%,100%,0.0%,13,1,12,11,1,0,8%,92%,85%,8.3%,8,0,8,8,0,0,0%,100%,100%,0.0%,18,1,17,17,0,1,6%,94%,94%,0.0%,37,7,30,29,1,0,19%,81%,78%,3.3%,35,0,35,34,1,2,0%,100%,97%,2.9%,13,0,13,13,0,0,0%,100%,100%,0.0%
12,41490,Bobby Lupo's Pizzeria Harker Heights,ES-12,2025-12-11,2,0,2,2,0,0,0%,100%,100%,0.0%,18,0,18,18,0,0,0%,100%,100%,0.0%,11,2,9,9,0,0,18%,82%,82%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,16,0,16,16,0,1,0%,100%,100%,0.0%,18,1,17,17,0,1,6%,94%,94%,0.0%,11,1,10,10,0,0,9%,91%,91%,0.0%,15,0,15,15,0,2,0%,100%,100%,0.0%,20,0,20,20,0,1,0%,100%,100%,0.0%,7,0,7,6,1,0,0%,100%,86%,14.3%,8,0,8,8,0,0,0%,100%,100%,0.0%,11,2,9,9,0,0,18%,82%,82%,0.0%,15,2,13,13,0,1,13%,87%,87%,0.0%,23,1,22,21,1,0,4%,96%,91%,4.5%
13,4035,RU Grill & Pizza,ES-12,2025-03-20,9,0,9,9,0,0,0%,100%,100%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,10,1,9,9,0,4,10%,90%,90%,0.0%,14,0,14,14,0,1,0%,100%,100%,0.0%,12,2,10,10,0,0,17%,83%,83%,0.0%,12,0,12,12,0,1,0%,100%,100%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%,12,1,11,11,0,0,8%,92%,92%,0.0%,3,1,2,2,0,0,33%,67%,67%,0.0%,9,1,8,8,0,0,11%,89%,89%,0.0%,9,5,4,4,0,0,56%,44%,44%,0.0%,22,2,20,20,0,3,9%,91%,91%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%
14,39337,Allegro Pizza,ES-12,2026-02-05,7,0,7,7,0,0,0%,100%,100%,0.0%,8,0,8,8,0,0,0%,100%,100%,0.0%,7,1,6,6,0,1,14%,86%,86%,0.0%,11,0,11,11,0,1,0%,100%,100%,0.0%,12,1,11,10,1,0,8%,92%,83%,9.1%,16,1,15,15,0,2,6%,94%,94%,0.0%,17,1,16,15,1,0,6%,94%,88%,6.3%,14,0,14,13,1,0,0%,100%,93%,7.1%,17,1,16,15,1,0,6%,94%,88%,6.3%,4,0,4,4,0,0,0%,100%,100%,0.0%,11,1,10,10,0,0,9%,91%,91%,0.0%,13,3,10,10,0,0,23%,77%,77%,0.0%,25,1,24,24,0,0,4%,96%,96%,0.0%,11,1,10,10,0,0,9%,91%,91%,0.0%
15,33879,Piece O'Pizza Inc,ES-12,2026-03-04,3,1,2,2,0,0,33%,67%,67%,0.0%,13,0,13,13,0,0,0%,100%,100%,0.0%,14,3,11,11,0,3,21%,79%,79%,0.0%,16,0,16,15,1,0,0%,100%,94%,6.3%,25,6,19,19,0,0,24%,76%,76%,0.0%,25,1,24,24,0,1,4%,96%,96%,0.0%,18,1,17,17,0,0,6%,94%,94%,0.0%,20,1,19,19,0,0,5%,95%,95%,0.0%,15,0,15,15,0,0,0%,100%,100%,0.0%,13,1,12,12,0,0,8%,92%,92%,0.0%,13,1,12,12,0,0,8%,92%,92%,0.0%,11,3,8,8,0,1,27%,73%,73%,0.0%,25,2,23,22,1,0,8%,92%,88%,4.3%,28,3,25,25,0,1,11%,89%,89%,0.0%
16,33574,Pizza Express,ES-12,2025-07-09,8,0,8,8,0,0,0%,100%,100%,0.0%,5,0,5,5,0,0,0%,100%,100%,0.0%,10,1,9,9,0,0,10%,90%,90%,0.0%,10,0,10,9,1,0,0%,100%,90%,10.0%,22,0,22,21,1,0,0%,100%,95%,4.5%,20,1,19,19,0,0,5%,95%,95%,0.0%,12,1,11,11,0,0,8%,92%,92%,0.0%,12,0,12,12,0,1,0%,100%,100%,0.0%,14,0,14,14,0,0,0%,100%,100%,0.0%,13,0,13,13,0,1,0%,100%,100%,0.0%,23,1,22,22,0,1,4%,96%,96%,0.0%,16,1,15,15,0,0,6%,94%,94%,0.0%,24,0,24,24,0,0,0%,100%,100%,0.0%,21,1,20,20,0,2,5%,95%,95%,0.0%
17,3333,Vannucchi Brothers Pizza,ES-12,2025-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,4,0,0,20%,80%,80%,0.0%,11,1,10,9,1,2,9%,91%,82%,10.0%,19,1,18,18,0,1,5%,95%,95%,0.0%,22,1,21,19,2,0,5%,95%,86%,9.5%,16,2,14,14,0,1,13%,88%,88%,0.0%
18,33126,Luigi's Pizza,ES-12,2026-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,6,0,1,0%,100%,100%,0.0%,19,1,18,18,0,0,5%,95%,95%,0.0%,30,9,21,21,0,0,30%,70%,70%,0.0%,29,1,28,28,0,0,3%,97%,97%,0.0%,31,5,26,26,0,0,16%,84%,84%,0.0%
19,3277,Times Square New York Style Pizza,ES-12,2026-05-11,3,3,0,0,0,0,100%,0%,0%,,16,9,7,7,0,0,56%,44%,44%,0.0%,12,2,10,9,1,1,17%,83%,75%,10.0%,10,1,9,9,0,0,10%,90%,90%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
