,Call initiation Timestamp Date,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01
,Shop Type,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued,#shops,Total Calls,Overflow Calls,Queue Calls,Handled Calls,Missed Calls,Transferred Calls,%Overflowed of total,%Queued of total,%Handled of total,%Missed of queued
1,new,16,67,20,47,47,0,2,30%,70%,70%,0.0%,20,253,93,160,157,3,5,37%,63%,62%,1.9%,19,270,109,161,159,2,11,40%,60%,59%,1.2%,18,243,80,163,160,3,5,33%,67%,66%,1.8%,16,189,72,117,114,3,2,38%,62%,60%,2.6%,16,183,62,121,118,3,8,34%,66%,64%,2.5%,17,240,66,174,169,5,8,28%,73%,70%,2.9%,17,246,69,177,172,5,6,28%,72%,70%,2.8%,18,159,28,131,131,0,6,18%,82%,82%,0.0%,18,147,40,107,106,1,7,27%,73%,72%,0.9%,25,292,89,203,199,4,5,30%,70%,68%,2.0%,25,470,202,268,262,6,11,43%,57%,56%,2.2%,25,488,134,354,343,11,12,27%,73%,70%,3.1%,25,516,160,356,349,7,14,31%,69%,68%,2.0%
2,established,15,115,2,113,112,1,4,2%,98%,97%,0.9%,17,231,4,227,227,0,7,2%,98%,98%,0.0%,17,259,19,240,240,0,5,7%,93%,93%,0.0%,17,268,14,254,251,3,9,5%,95%,94%,1.2%,16,293,10,283,278,5,8,3%,97%,95%,1.8%,17,361,13,348,345,3,14,4%,96%,96%,0.9%,17,293,15,278,273,5,10,5%,95%,93%,1.8%,17,302,13,289,287,2,11,4%,96%,95%,0.7%,17,313,11,302,293,9,8,4%,96%,94%,3.0%,18,257,20,237,235,2,12,8%,92%,91%,0.8%,18,318,19,299,294,5,8,6%,94%,92%,1.7%,17,383,69,314,308,6,10,18%,82%,80%,1.9%,19,462,34,428,422,6,25,7%,93%,91%,1.4%,19,347,24,323,320,3,23,7%,93%,92%,0.9%
,,31,182,22,160,159,1,6,12%,88%,87%,0.6%,37,484,97,387,384,3,12,20%,80%,79%,0.8%,36,529,128,401,399,2,16,24%,76%,75%,0.5%,35,511,94,417,411,6,14,18%,82%,80%,1.4%,32,482,82,400,392,8,10,17%,83%,81%,2.0%,33,544,75,469,463,6,22,14%,86%,85%,1.3%,34,533,81,452,442,10,18,15%,85%,83%,2.2%,34,548,82,466,459,7,17,15%,85%,84%,1.5%,35,472,39,433,424,9,14,8%,92%,90%,2.1%,36,404,60,344,341,3,19,15%,85%,84%,0.9%,43,610,108,502,493,9,13,18%,82%,81%,1.8%,42,853,271,582,570,12,21,32%,68%,67%,2.1%,44,950,168,782,765,17,37,18%,82%,81%,2.2%,44,863,184,679,669,10,37,21%,79%,78%,1.5%
